Outlook_sunny,Outlook_overcast,Outlook_rain,Temperature,Humidity,Wind,Play
1,0,0,85.0,85.0,0,0
1,0,0,80.0,90.0,1,0
0,1,0,83.0,78.0,0,1
0,0,1,70.0,96.0,0,1
0,0,1,68.0,80.0,0,1
0,0,1,65.0,70.0,1,0
0,1,0,64.0,65.0,1,1
1,0,0,72.0,95.0,0,0
1,0,0,69.0,70.0,0,1
0,0,1,75.0,80.0,0,1
1,0,0,75.0,70.0,1,1
0,1,0,72.0,90.0,1,1
0,1,0,81.0,75.0,0,1
0,0,1,71.0,80.0,1,0
1,0,0,81.0,88.0,1,0
0,1,0,74.0,92.0,0,1
0,0,1,76.0,85.0,0,1
1,0,0,78.0,75.0,1,0
1,0,0,82.0,92.0,0,0
0,0,1,67.0,90.0,1,0
0,1,0,85.0,85.0,1,1
0,0,1,73.0,88.0,0,1
1,0,0,88.0,65.0,1,1
0,1,0,77.0,70.0,0,1
1,0,0,79.0,60.0,0,1
0,1,0,80.0,95.0,1,1
0,0,1,66.0,70.0,0,0
0,1,0,84.0,78.0,0,1
